Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-Jul-20,567.65,578.85,566,574.7,572.3061391,3230509,15053,1848840133,208720,6.46,12.85,7.05
09-Jul-20,563,570.25,560.5,568.85,565.2276004,255685,4148,144520219,50318,19.68,9.75,5.85
08-Jul-20,572.9,573.6,559.3,561.25,566.2898597,301815,5456,170914774,76068,25.2,14.3,-11.65
07-Jul-20,579,582.5,566,567.15,572.8042723,314023,6768,179873716,90051,28.68,16.5,-11.85
06-Jul-20,588.9,589.4,574.95,576.5,581.1568711,642840,9864,373590883,125877,19.58,14.45,-12.4
03-Jul-20,560.75,582.95,560.75,581.1,574.4286727,1222478,23722,702226415,521387,42.65,22.2,20.35
02-Jul-20,565.7,566.7,557.5,558.5,561.0129285,216498,4127,121458177,63515,29.34,9.2,-7.2
01-Jul-20,574,574,558.15,559.8,564.1547653,357451,5965,201657685,73899,20.67,15.85,-14.2
30-Jun-20,573,576.95,557.85,559.65,568.2410191,489206,9557,277986916,135830,27.77,19.1,-13.35
29-Jun-20,560.3,568.8,551.2,567.25,560.9723887,276083,4837,154874940,48417,17.54,17.6,6.95
26-Jun-20,560,566.3,557.75,560.3,562.0441433,372786,7043,209522188,99086,26.58,8.55,0.3
25-Jun-20,550.05,563.5,550,559.3,556.3529426,523357,9923,291171207,94788,18.11,13.5,9.25
24-Jun-20,584.9,584.9,555,557.45,567.540676,355185,6932,201581935,93715,26.38,29.9,-27.45
23-Jun-20,582.2,584.55,574.75,578.45,579.5219726,268334,4489,155505449,61720,23,9.8,-3.75
22-Jun-20,576,587.9,570.4,580.55,579.5146665,589438,7780,341587966,104836,17.79,17.5,4.55
19-Jun-20,563,577.95,561.35,571.45,568.0975385,332556,5871,188924245,89622,26.95,16.6,8.45
18-Jun-20,561.6,572.85,558.15,560.8,565.1745194,762557,13920,430977786,186529,24.46,14.7,-0.8
17-Jun-20,547.8,565.4,541.75,563.5,558.6343234,470268,7684,262707846,73089,15.54,23.65,15.7
16-Jun-20,556,559.3,537,544.8,547.7416147,596160,15863,326541641,141040,23.66,22.3,-11.2
15-Jun-20,557.95,563.7,549.15,550.85,555.2911588,440945,8372,244852860,122664,27.82,14.55,-7.1
12-Jun-20,544,562,540,559.9,555.3041992,637053,12937,353758206,110227,17.3,22,15.9
11-Jun-20,571.95,573.7,546.75,551.6,562.453136,900061,17208,506242132,156542,17.39,26.95,-20.35
10-Jun-20,570.05,576,563.3,567.25,569.3613681,474220,9944,270002548,86579,18.26,12.7,-2.8
09-Jun-20,580,591.75,566,567.6,580.367253,462101,9085,268188288,97148,21.02,25.75,-12.4
08-Jun-20,589.95,593.7,579.55,584.75,585.0905782,838800,12453,490773977,153796,18.34,14.15,-5.2
05-Jun-20,590,590,567.7,584.9,579.0890143,1513499,29051,876450644,412418,27.25,22.3,-5.1
04-Jun-20,553.55,585,549.8,573.15,562.2728843,818083,15664,459985888,263990,32.27,35.2,19.6
03-Jun-20,566.5,567.6,549.7,551.7,554.8345774,507222,9265,281424304,135165,26.65,17.9,-14.8
02-Jun-20,563.1,572.1,556.25,558,564.098843,863673,18414,487196940,353114,40.89,15.85,-5.1
01-Jun-20,560,561.6,550.2,559.05,556.2508052,800454,14461,445253182,191305,23.9,11.4,-0.95
29-May-20,557,564,544,552.4,552.5845722,4877808,20966,2695401447,473933,9.72,20,-4.6
28-May-20,565.5,567.9,556.2,562.7,561.5052445,435791,6524,244698932,82939,19.03,11.7,-2.8
27-May-20,561.05,565.4,554,563,559.9285009,684764,12937,383418880,171259,25.01,11.4,1.95
26-May-20,573.5,576,557.65,559.15,563.279562,172648871,103066,97249580429,150104807,86.94,18.35,-14.35
22-May-20,595.5,597.2,587.1,593,592.3025758,411401,5680,243673872,61163,14.87,10.1,-2.5
